App Name	App Apple ID	Subscription Name	Subscription Apple ID	Subscription Group ID	Subscription Duration	Customer Price	Customer Currency	Developer Proceeds	Proceeds Currency	Preserved Pricing	Proceeds Reason	Client	Device	State	Country	Active Subscriptions	Active Free Trials	Marketing Opt-Ins
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	MO	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	56.9	EUR	39.83	EUR				iPad		IRL	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	TX	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	DE	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	5.83	EUR	4.08	EUR				iPhone		FRA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	IL	USA	6	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	OR	USA	2	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30_active	1147092422	20344069	1 Month	24.99	QAR	17.49	QAR				iPhone		QAT	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPad	MD	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	WI	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30_active	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	PA	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	5.78	EUR	4.04	EUR				iPhone	MA	ESP	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	UT	USA	2	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30_active	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	CA	USA	7	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	AP	USA	2	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30_active	1147092422	20344069	1 Month	24.99	AED	17.49	AED				iPhone	DU	ARE	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	CT	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	PA	USA	3	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30_active	1147092422	20344069	1 Month	9.99	CAD	6.99	CAD				iPhone	ON	CAN	2	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	AL	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	5.68	EUR	3.98	EUR				iPhone		IRL	10	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	OK	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	SC	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	57.84	EUR	40.49	EUR				iPhone		BEL	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPad	MD	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	TX	USA	9	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30_active	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	IL	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	FL	USA	2	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	69.99	USD	49	USD				iPhone	MS	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30_active	1147092422	20344069	1 Month	6.99	USD	4.9	USD				iPhone	TN	USA	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_600_365	1147092437	20344069	1 Year	99.99	CAD	69.99	CAD				iPhone	AB	CAN	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30	1147092422	20344069	1 Month	9.99	AUD	6.99	AUD				iPhone	NSW	AUS	1	0	0
Invest: buy stocks in great businesses	973162352	Premium_200_30_active	1147092422	20344069	1 Month	9.99	AUD	6.99	AUD				iPhone	NSW	AUS	1	0	0
